Part     Value            Device          Package          Library                 Sheet
R31      10k              R-EU_R0402      R0402            rcl                     1
R32      1k               R-EU_R0402      R0402            rcl                     1
R33      10k              R-EU_R0402      R0402            rcl                     1
R34      2k4              R-EU_R0402      R0402            rcl                     1
R35      2k4              R-EU_R0402      R0402            rcl                     1
R36      100k             R-EU_R0402      R0402            rcl                     1
R37      39k              R-EU_R0402      R0402            rcl                     1
R38      100k             R-EU_R0402      R0402            rcl                     1
R39      47R              R-EU_R0805      R0805            rcl                     1
R40      2k4              R-EU_R0402      R0402            rcl                     1
R41      47R              R-EU_R0805      R0805            rcl                     1
R42      24k              R-EU_R0402      R0402            rcl                     1
R43      430r 1%          R-EU_R0603      R0603            rcl                     1
R47      10k              R-EU_R0402      R0402            rcl                     1
R49      4k7              R-EU_R0402      R0402            rcl                     1
R50      100k             R-EU_R0402      R0402            rcl                     1
R51      4k7              R-EU_R0402      R0402            rcl                     1
R52      100k             R-EU_R0402      R0402            rcl                     1
R53      1k               R-EU_R0402      R0402            rcl                     1
R54      1k               R-EU_R0402      R0402            rcl                     1
R55      100k             R-EU_R0402      R0402            rcl                     1
R56      4k7              R-EU_R0402      R0402            rcl                     1
R57      9k1 1%           R-EU_R0603      R0603            rcl                     1
R58      49k9 1%          R-EU_R0603      R0603            rcl                     1
R59      100k             R-EU_R0402      R0402            rcl                     1
R60      4k7              R-EU_R0402      R0402            rcl                     1
R61      100k             R-EU_R0402      R0402            rcl                     1
R62      4k7              R-EU_R0402      R0402            rcl                     1
R63      100k             R-EU_R0402      R0402            rcl                     1
R69      4k7              R-EU_R0402      R0402            rcl                     1
R73      39k              R-EU_R0402      R0402            rcl                     1
R78      4k7              R-EU_R0402      R0402            rcl                     1
R79      6k8              R-EU_R0402      R0402            rcl                     1
R80      100k             R-EU_R0402      R0402            rcl                     1
R102     300/1%           R-EU_R0603      R0603            rcl                     1
R103     61R9             R-EU_R0603      R0603            rcl                     1
R104     10k              R-EU_R0402      R0402            rcl                     1
R105     31k6/1%          R-EU_R0603      R0603            rcl                     1
R107     100k             R-EU_R0402      R0402            rcl                     1
R108     100k             R-EU_R0402      R0402            rcl                     1
R109     4k7              R-EU_R0402      R0402            rcl                     1
R110     470k             R-EU_R0402      R0402            rcl                     1
SJ2                       SJ2W            SJ_2             jumper                  1
SJ3                       SJ2W            SJ_2             jumper                  1
SJ4                       SJ2W            SJ_2             jumper                  1
U$2      NCV1124          NCV1124         SO-08            NCV1124                 1
U$4      X322516MLB4SI    X322516MLB4SI   X322516MLB4SI    X322516MLB4SI           1
U$7      34P              34P             34P              34p                     1
U$8      X322516MLB4SI    X322516MLB4SI   X322516MLB4SI    X322516MLB4SI           1
